hazard	title	url	source_hint	status	priority	task_angle
外电防护/吊装	武隆白马“8·6”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202606/5809563.shtml	武隆区应急局	benchmark_added	中高	高压线下方车载起重设备吊装，测试最小安全距离和作业许可
市政运维触电	崂山普民环保科技有限公司“6·6”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5807143.shtml	青岛市应急管理局	agent_stress_candidate	中	污水泵站阀门井废弃供电线路裸露，适合证据不足和有限空间复合风险压力测试
机电维保触电	西湖三墩西湖大学机电维保项目“3·27”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5806549.shtml	西湖区应急管理局	review	中	机电维保项目触电，需进一步核对是否属于建筑施工临时用电
普通生产触电	黄岛贝卡尔特（青岛）钢丝产品有限公司“10·15”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5806476.shtml	青岛市应急管理局	review	中	生产线风机/插座触电，施工属性弱，暂不进benchmark
工业用电触电	平度“8.8”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5805894.shtml	青岛市应急管理局	review	中	电磁吸盘线路修理触电，施工属性弱，适合普通用电安全对照
装修/自建房触电	深圳市深汕特别合作区鲘门镇百安村自建房“8·14”一般触电事故防范整改措施和责任追究落实情况的评估报告	https://www.safehoo.com/Case/Case/Electric/202605/5805544.shtml	深圳市应急管理局	review	中	整改评估而非原始调查报告，可用于追溯原始自建房事故报告
餐饮用电触电	关于民治街道东头村左乌右羊羊肉串店“6·20”一般触电死亡事故的调查报告	https://www.safehoo.com/Case/Case/Electric/202604/5805453.shtml	深圳市应急管理局	existing_case	低	已在案例69，非施工场景，仅保留作对照
整改评估	胶州青岛富居祥和装饰工程有限公司“7·16”一般触电事故防范整改措施落实情况评估报告	https://www.safehoo.com/Case/Case/Electric/202605/5806460.shtml	青岛市应急管理局	exclude	低	对应案例82的整改评估，不单独成案
整改评估	黄岛青岛东方影都文化旅游管理有限公司“8·22”一般触电事故责任追究和整改措施落实情况评估报告	https://www.safehoo.com/Case/Case/Electric/202605/5806482.shtml	青岛市应急管理局	exclude	低	整改评估，非原始事故报告
维保/照明触电	黄岛青岛东方影都文化旅游管理有限公司“8·22”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5806491.shtml	青岛市应急管理局	review	中	商场/剧院照明维修触电，施工属性需人工复核
娱乐设施用电	黄岛区“3·22”青岛华兴富洲旅游管理有限公司一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5806727.shtml	青岛市应急管理局	review	低	海鲜池/经营场所触电，非施工场景
配电/机电触电	坪山龙田某工业区25号厂房“7·22”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5805561.shtml	深圳市应急管理局	review	中	工业厂房触电，需进一步确认施工/装修属性
整改评估	光明区马田街道佳速隆金属制品有限公司“6·29”触电死亡事故整改措施落实情况“回头看”评估报告	https://www.safehoo.com/Case/Case/Electric/202605/5805746.shtml	深圳市应急管理局	exclude	低	整改措施评估，非原始调查报告
